,count,mean,std,min,25%,50%,75%,max
avg_rating,4999.0,6.969392480496099,0.5628254845096958,5.77773,6.54056,6.907889999999999,7.339040000000001,9.15915
geek_rating,4999.0,6.088576191238247,0.48321249692462415,5.64024,5.72697,5.90524,6.303585,8.61858
num_votes,4999.0,2013.4582916583317,4750.834209534717,62.0,285.0,625.0,1634.5,77423.0
owned,4999.0,3063.863572714543,6482.861008268828,49.0,626.0,1204.0,2751.5,111807.0
min_players,4999.0,2.019403880776155,0.6852819925232628,0.0,2.0,2.0,2.0,8.0
max_players,4999.0,5.188037607521505,7.801037841617518,0.0,4.0,4.0,6.0,200.0
avg_time,4999.0,116.19363872774555,513.7109070965598,0.0,30.0,60.0,120.0,22500.0
min_time,4999.0,83.85297059411883,317.25158094629336,0.0,30.0,45.0,90.0,17280.0
max_time,4999.0,115.71754350870174,513.768867891129,0.0,30.0,60.0,120.0,22500.0
age,4999.0,10.407281456291258,3.237645429964539,0.0,8.0,11.0,12.0,42.0
weight,4999.0,2.3436331666333268,0.8086935646960638,0.0,1.7353,2.2857,2.8889,4.9048
